,nonprofit,org_years,regionality,org_small_med_large,global_north_south_int,collects_data,tech_person,merl_person,cloud_storage,data_use_policy,org_agreements,[D] Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.,"[D] Our staff uses software to collect data about people, relationships, prospects, etc.",[D] We also retained the original audio or video that accompanies the transcripts and tabular data.,"[D] We collect data using devices, such as phones, tablets,  or computers, and people submit/update information electronically.","[D] We have at least a hundred transcripts or records of interviews, testimonials, meetings, proceedings, surveys, or similar.",[U] Ask,[U] Assist,[U] Generat,[U] Interpret,[U] Organi,[U] Predict,[U] Translat,[U] Other,[U] I am not currently using AI,[W] Ask,[W] Assist,[W] Generat,[W] Interpret,[W] Organi,[W] Predict,[W] Translat,[W] Other,[W] We don't know yet!,cluster3,cluster2,ai_want_2+
717,1.0,0.16666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1
718,0.0,1.0,0.75,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1
719,1.0,0.12,0.75,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1
720,1.0,0.16666666666666666,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1
721,1.0,0.12,0.75,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1
722,1.0,0.17333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1
723,1.0,0.13333333333333333,0.4983480176211454,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1
724,1.0,0.05333333333333334,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1
725,0.0,0.16666666666666666,0.25,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1
726,1.0,0.12,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1
727,1.0,0.38,0.75,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1
728,1.0,0.02,0.75,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
729,1.0,0.006666666666666667,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1
730,1.0,0.06666666666666667,0.25,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1
731,1.0,0.05333333333333334,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1
732,1.0,0.16666666666666666,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
733,1.0,1.0,0.25,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,0,0
734,1.0,0.24666666666666667,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
735,1.0,0.25333333333333335,0.25,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1
736,1.0,0.5133333333333333,0.75,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1
